District /  Autonomous region,Arms,Name of municipality[a],Area (km2),Area rank[b],Pop. total[c],Pop. rank[b],PD (per km2)[c],PD rank[b],Number of parishes[1],Ruling party[d][e]
Aveiro,,Águeda,335.3,89,"49,691",58,148,91,11,IND
Aveiro,,Albergaria-a-Velha,155.4,196,"25,497",99,164,83,6,CDS
Aveiro,,Anadia,216.6,150,"31,671",86,146,93,10,IND
Aveiro,,Arouca,329.1,92,"24,019",108,73,159,16,PS
Aveiro,,Aveiro,199.9,161,"73,626",32,368,43,10,PSD-CDS
Aveiro,,Castelo de Paiva,115.0,240,"17,089",142,149,90,6,PS
Aveiro,,Espinho,21.1,305,"31,703",85,"1,503",14,4,PSD
Aveiro,,Estarreja,108.4,245,"28,279",91,261,56,5,PSD-CDS
Aveiro,,Ílhavo,73.5,276,"39,247",72,534,33,4,PSD
Aveiro,,Mealhada,110.7,242,"21,500",121,194,70,6,PS
Aveiro,,Murtosa,73.3,277,"9,657",202,132,102,4,PSD
Aveiro,,Oliveira de Azeméis,163.5,190,"71,243",35,436,40,12,PS
Aveiro,,Oliveira do Bairro,87.3,260,"22,365",115,256,59,4,CDS
Aveiro,,Ovar,147.4,201,"56,715",48,385,42,5,PSD
Aveiro,,Santa Maria da Feira,215.1,151,"142,295",17,662,29,21,PSD
Aveiro,,São João da Madeira,7.9,308,"21,538",119,"2,726",6,1,PS
Aveiro,,Sever do Vouga,129.6,224,"12,940",175,100,127,7,PS
Aveiro,,Vagos,169.9,185,"23,205",111,137,99,8,PSD
Aveiro,,Vale de Cambra,146.5,204,"24,761",103,169,80,7,CDS
Beja,,Aljustrel,458.3,59,"9,940",199,22,246,4,PS
Beja,,Almodôvar,777.9,18,"7,650",232,10,301,6,PS
Beja,,Alvito,264.8,121,"2,708",304,10,298,2,PCP-PEV
Beja,,Barrancos,168.3,188,"1,825",306,11,294,1,PS
Beja,,Beja,"1,147.1",9,"34,970",80,30,227,12,PS
Beja,,Castro Verde,569.4,40,"7,702",230,14,284,4,PS
Beja,,Cuba,172.1,183,"4,775",277,28,236,4,PCP-PEV
Beja,,Ferreira do Alentejo,648.4,31,"8,505",211,13,286,4,PS
Beja,,Mértola,"1,292.8",6,"7,996",223,6,307,7,PS
Beja,,Moura,958.4,13,"16,411",147,17,265,5,PS
Beja,,Odemira,"1,720.6",1,"25,738",98,15,275,13,PS
Beja,,Ourique,663.4,29,"5,842",261,9,303,4,PS
Beja,,Serpa,"1,104.0",11,"16,178",149,15,276,5,PCP-PEV
Beja,,Vidigueira,316.0,101,"6,019",259,19,256,4,PCP-PEV
Braga,,Amares,82.0,267,"19,290",132,235,62,16,PSD-CDS
Braga,,Barcelos,378.9,80,"123,831",22,327,47,61,PS
Braga,,Braga,183.2,170,"181,819",6,992,22,37,PSD-CDS-PPM
Braga,,Cabeceiras de Basto,241.8,132,"17,775",138,74,156,12,PS
Braga,,Celorico de Basto,181.1,173,"20,128",129,111,119,15,PSD
Braga,,Esposende,95.4,255,"34,625",83,363,44,9,PSD
Braga,,Fafe,219.1,146,"53,528",54,244,61,25,PS
Braga,,Guimarães,241.3,133,"161,876",14,671,27,48,PS
Braga,,Póvoa de Lanhoso,132.5,220,"23,657",109,179,77,22,PSD
Braga,,Terras de Bouro,277.5,114,"7,955",224,29,234,14,PSD
Braga,,Vieira do Minho,218.5,147,"14,474",160,66,165,16,PSD-CDS
Braga,,Vila Nova de Famalicão,201.7,159,"131,690",19,653,30,34,PSD-CDS
Braga,,Vila Verde,228.7,140,"48,122",60,210,66,33,PSD
